Date,Price,Open,High,Low,Vol.,Change %
2022-06-04,0.3924,0.3904,0.3939,0.385,216.56,0.53%
2022-06-05,0.3954,0.3924,0.3995,0.3897,215.22,0.76%
2022-06-06,0.4028,0.3954,0.4092,0.3942,415.31,1.86%
2022-06-07,0.4077,0.4028,0.4171,0.3851,671.05,1.22%
2022-06-08,0.4005,0.4076,0.4102,0.3951,479.64,-1.76%
2022-06-09,0.4002,0.4006,0.404,0.397,396.77,-0.07%
2022-06-10,0.3815,0.4003,0.4117,0.3773,600.31,-4.67%
2022-06-11,0.3596,0.3815,0.3884,0.3563,473.87,-5.76%
2022-06-12,0.3432,0.3597,0.3651,0.3399,602.16,-4.56%
2022-06-13,0.3117,0.3432,0.3499,0.3016,1.41B,-9.18%
2022-06-14,0.3218,0.3116,0.3249,0.2939,1.06B,3.24%
2022-06-15,0.3436,0.3217,0.3466,0.2988,1.15B,6.78%
2022-06-16,0.313,0.3436,0.347,0.3075,788.83,-8.89%
2022-06-17,0.3209,0.3131,0.3395,0.3107,571.41,2.52%
2022-06-18,0.3075,0.3209,0.3263,0.2876,717.57,-4.18%
2022-06-19,0.3263,0.3075,0.3327,0.2984,515.68,6.10%
2022-06-20,0.3224,0.3263,0.3286,0.3138,463.92,-1.18%
2022-06-21,0.3294,0.3224,0.3371,0.3192,518.67,2.15%
2022-06-22,0.3222,0.3294,0.3296,0.3191,443.83,-2.18%
2022-06-23,0.3357,0.3222,0.3369,0.3214,408.83,4.19%
2022-06-24,0.3674,0.3357,0.3863,0.3351,808.82,9.44%
2022-06-25,0.3675,0.3673,0.3738,0.3544,292.63,0.04%
2022-06-26,0.359,0.3675,0.3748,0.3577,258.89,-2.31%
2022-06-27,0.3533,0.359,0.367,0.349,381.45,-1.59%
2022-06-28,0.3374,0.3534,0.3556,0.3357,453.52,-4.50%
2022-06-29,0.3294,0.3374,0.3415,0.3206,474.44,-2.38%
2022-06-30,0.332,0.3294,0.3325,0.3061,646.65,0.80%
2022-07-01,0.314,0.332,0.3345,0.3105,511.23,-5.44%
2022-07-02,0.3155,0.314,0.3179,0.3098,251.14,0.49%
2022-07-03,0.3214,0.3155,0.3256,0.3092,279.12,1.89%
2022-07-04,0.3286,0.3215,0.3298,0.3148,379.97,2.22%
2022-07-05,0.3257,0.3286,0.3309,0.3134,492.08,-0.87%
2022-07-06,0.3324,0.3257,0.334,0.3201,450.08,2.06%
2022-07-07,0.3427,0.3325,0.3452,0.3269,384.27,3.10%
2022-07-08,0.3408,0.3424,0.3584,0.336,549.48,-0.58%
2022-07-09,0.3448,0.3407,0.3476,0.3397,182.92,1.18%
2022-07-10,0.3253,0.3448,0.3449,0.3206,324.31,-5.65%
2022-07-11,0.3151,0.3253,0.3289,0.311,358.57,-3.14%
2022-07-12,0.3117,0.3151,0.318,0.308,375.63,-1.08%
2022-07-13,0.3237,0.3117,0.3256,0.3034,520.81,3.85%
