Date,Price,Open,High,Low,Vol.,Change
2021-04-04,2075.94,2007.82,2091.31,1982,1.59,0.03
2021-04-05,2106.41,2076.14,2127.89,2004.05,2.31,0.01
2021-04-06,2111.53,2108.81,2150.78,2047.48,1.93,0
2021-04-07,1961.46,2112.41,2128.25,1939.64,2.3,-0.07
2021-04-08,2079.92,1962.44,2084.08,1951.83,1.73,0.06
2021-04-09,2066.93,2080.2,2101.07,2050.39,2.47,-0.01
2021-04-10,2133.79,2067.26,2197.73,2058.23,2.09,0.03
2021-04-11,2151.42,2133.89,2164.76,2114.55,1.97,0.01
2021-04-12,2137.81,2150.79,2199.52,2103.73,2.16,-0.01
2021-04-13,2299.93,2137.55,2315.47,2136.49,2.38,0.08
2021-04-14,2431.56,2299.25,2445.4,2281.49,2.11,0.06
2021-04-15,2514.22,2432.9,2541.9,2402.75,1.91,0.03
2021-04-16,2423.18,2514.55,2544.54,2302.3,2.08,-0.04
2021-04-17,2318.33,2424.12,2493.93,2314.12,1.73,-0.04
2021-04-18,2237.17,2317.88,2338.53,1948.93,2.76,-0.04
2021-04-19,2160.63,2236.1,2275.87,2081.3,1.9,-0.03
2021-04-20,2332.14,2161.06,2345.18,2058,1.86,0.08
2021-04-21,2360.81,2331.84,2467.51,2238.15,2.1,0.01
2021-04-22,2401.1,2360.32,2642.99,2313.46,3.17,0.02
2021-04-23,2367.31,2398.95,2440.21,2119.26,3.46,-0.01
2021-04-24,2215.93,2367.35,2367.46,2159.6,1.61,-0.06
2021-04-25,2316.48,2217.23,2355.2,2169.91,1.02,0.05
2021-04-26,2533.12,2320.63,2539.8,2305.97,1.79,0.09
2021-04-27,2665.24,2531.07,2677.95,2484.44,1.45,0.05
2021-04-28,2746.54,2665.83,2759.03,2562.74,1.74,0.03
2021-04-29,2757.36,2746.51,2797.52,2670.35,1.65,0
2021-04-30,2772.78,2757.02,2797.61,2726.03,1.52,0.01
2021-05-01,2944.66,2772.27,2951.74,2753.6,1.51,0.06
2021-05-02,2950.33,2945.04,2984.52,2854.12,1.3,0
2021-05-03,3429.37,2950.07,3451.44,2950.07,2.32,0.16
2021-05-04,3286.71,3429.48,3516.34,3188.9,2.74,-0.04
2021-05-05,3522.76,3284.31,3540.78,3228.86,1.87,0.07
2021-05-06,3489.52,3522.74,3601.59,3380.6,1.51,-0.01
2021-05-07,3481.22,3490.83,3583.34,3363.56,1.35,0
2021-05-08,3905.55,3479.81,3952.88,3453.37,1.34,0.12
2021-05-09,3922.23,3905.69,3979.77,3734.44,1.94,0
2021-05-10,3947.9,3923.48,4203.98,3669.84,2.7,0.01
2021-05-11,4167.78,3948.66,4177.53,3781.86,1.27,0.06
2021-05-12,3811.77,4173.61,4366.1,3794.15,2.78,-0.09
2021-05-13,3719.62,3807.5,4031.99,3539.96,3.21,-0.02
2021-05-14,4075.38,3719.46,4171.76,3694.54,2.06,0.1
2021-05-15,3641.65,4074.57,4129.99,3639.12,1.94,-0.11
2021-05-16,3582.12,3643.67,3877.2,3351.92,2.28,-0.02
2021-05-17,3279.68,3582.19,3582.27,3130.12,2.85,-0.08
2021-05-18,3377.55,3280.5,3558.57,3244.93,2.3,0.03
2021-05-19,2435.69,3376.22,3434.01,1922.25,6.42,-0.28
2021-05-20,2777.55,2436.59,2988.52,2163.4,4.33,0.14
2021-05-21,2433.11,2766.88,2931.66,2111.42,4.23,-0.12
2021-05-22,2291.6,2433.09,2481.06,2162.84,2.82,-0.06
2021-05-23,2101.34,2292.68,2379.89,1739.91,3.52,-0.08
2021-05-24,2646.79,2101.3,2667.2,2080.87,3.24,0.26
2021-05-25,2705.09,2647.27,2747.49,2388.81,3.28,0.02
2021-05-26,2884.66,2705.69,2908.37,2648.1,2.66,0.07
2021-05-27,2735.88,2885.02,2885.87,2638.62,2.39,-0.05
2021-05-28,2414.29,2742.39,2760.17,2332.43,3.26,-0.12
2021-05-29,2276.07,2411.68,2567.42,2207.21,2.94,-0.06
2021-05-30,2386.1,2276.97,2465.84,2181.93,2.8,0.05
2021-05-31,2708.47,2386.93,2713.98,2279.42,2.83,0.14
2021-06-01,2633.67,2707.94,2738.23,2529.73,2.45,-0.03
2021-06-02,2706.1,2633.74,2801,2554.88,2.6,0.03
2021-06-03,2853.35,2705.05,2889.19,2666.39,1.09,0.05
2021-06-04,2686.5,2856.63,2856.63,2557.71,2.47,-0.06
2021-06-05,2628.98,2688.75,2814.02,2555.98,2.55,-0.02
2021-06-06,2713.66,2628.43,2743.53,2614.48,756.36,0.03
